year,comp_id,begin,end,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,D,balsheet_flag,balsheet_length,balsheet_notfullyear,founded_year,exit_year,ceo_count,foreign,female,birth_year,inoffice_days,gender,origin,nace_main,ind2,ind,urban_m,region_m,founded_date,exit_date,labor_avg,status_alive,flag_asset_problem,total_assets,total_assets_next,asset_growth_rate,fast_growth,ln_sales,sales_mil,sales_mil_log,d1_sales_mil_log,age,new
2012,30450737152.0,2012-01-01,2012-12-31,2937.037109375,37840.7421875,19048.1484375,0.0,0.0,0.0,11781.4814453125,1907.4073486328125,0.0,5788.888671875,5296.29638671875,94481.484375,26137.037109375,1755.5555419921875,127040.7421875,33529.62890625,11111.111328125,11781.4814453125,,0.0,365.0,0.0,2001.0,,1.0,0.0,0.0,1953.0,3678.0,male,Domestic,2822.0,28.0,2.0,1.0,Central,2001-07-31,,0.1527777761220932,1,0,49622.2236328125,41481.48046875,-0.16405438064003777,0.0,11.752263118619911,0.1270407421875,-2.0632474393443627,0.0,11.0,1.0
2012,30461749248.0,2012-01-01,2012-12-31,0.0,3922.22216796875,2429.629638671875,0.0,0.0,0.0,0.0,192.59259033203125,0.0,0.0,3922.22216796875,5559.25927734375,6881.4814453125,155.55555725097656,12840.7412109375,1492.5926513671875,740.74072265625,0.0,,0.0,365.0,0.0,2007.0,,1.0,0.0,1.0,1978.0,3313.0,female,Domestic,5610.0,56.0,3.0,3.0,East,2007-11-23,,0.09375,1,0,3922.22216796875,3237.0370712280273,-0.1746930865712709,0.0,9.460378302286358,0.0128407412109375,-4.355132255677916,0.0,5.0,1.0
2012,30467481600.0,2012-01-01,2012-12-31,3244.4443359375,3340.74072265625,10733.3330078125,0.0,0.0,0.0,12670.3701171875,-12703.7041015625,0.0,2177.77783203125,948.1481323242189,51355.5546875,7170.37060546875,-12718.5185546875,49181.48046875,5248.14794921875,22222.22265625,12670.3701171875,,0.0,365.0,0.0,2000.0,,2.0,0.0,0.5,1964.5,4181.5,mix,Domestic,5630.0,56.0,3.0,2.0,East,2000-05-22,,0.1666666716337204,1,0,16011.11083984375,12288.88916015625,-0.23247741627175098,0.0,10.803272418382365,0.04918148046875,-3.0122381395819082,0.0,12.0,1.0
2012,30487633920.0,2012-01-01,2012-12-31,19355.5546875,47722.22265625,12985.185546875,0.0,0.0,0.0,501218.53125,9051.8515625,70.37036895751953,8962.962890625,19277.77734375,274029.625,126396.296875,9051.8515625,299785.1875,217355.5625,93570.3671875,501148.15625,,0.0,365.0,0.0,1993.0,,2.0,0.0,0.5,1962.0,5122.0,mix,Domestic,5610.0,56.0,3.0,2.0,Central,1993-06-22,,1.3680555820465088,1,0,549011.1242752075,594285.1932868958,0.08246475710571087,0.0,12.610821455491397,0.2997851875,-1.2046891024728779,0.0,19.0,1.0
2012,30500892672.0,2012-01-01,2012-12-31,17714.814453125,58381.48046875,54948.1484375,0.0,0.0,0.0,10051.8515625,1077.77783203125,0.0,22596.296875,29311.111328125,74981.484375,23855.5546875,922.2222290039062,110974.0703125,13385.185546875,11111.111328125,10051.8515625,,0.0,365.0,0.0,2000.0,,2.0,0.0,0.5,1949.5,5615.5,mix,Domestic,2651.0,26.0,2.0,1.0,Central,2000-01-23,,0.0972222238779068,1,0,68433.33203125,79000.0009765625,0.1544082193818539,0.0,11.61705185221727,0.1109740703125,-2.1984587057470053,0.0,12.0,1.0
2012,30510241792.0,2012-01-01,2012-12-31,148.1481475830078,3807.407470703125,10944.4443359375,0.0,0.0,0.0,7485.18505859375,166.6666717529297,0.0,1481.4814453125,2207.407470703125,3444.4443359375,5003.70361328125,148.1481475830078,9229.6298828125,370.370361328125,55.55555725097656,7485.18505859375,,0.0,365.0,0.0,1996.0,,1.0,0.0,0.0,1952.0,7457.0,male,Domestic,2611.0,26.0,2.0,1.0,Central,1996-08-01,,0.0833333358168602,1,0,11292.592529296875,6777.777587890625,-0.3998032276196334,0.0,9.130174227322637,0.0092296298828125,-4.685336330641637,0.0,16.0,1.0
2012,30515965952.0,2012-01-01,2012-12-31,0.0,15607.4072265625,1077.77783203125,0.0,0.0,0.0,0.0,1096.2962646484375,0.0,15229.6298828125,377.77777099609375,12337.037109375,12337.037109375,1037.0369873046875,26125.92578125,1118.5185546875,1851.851806640625,0.0,,0.0,365.0,0.0,2011.0,2016.0,1.0,1.0,0.0,,1579.0,male,Foreign,5610.0,56.0,3.0,3.0,Central,2011-04-04,2016-11-02,0.1666666716337204,1,0,15607.4072265625,5974.073944091797,-0.6172282905565235,0.0,10.170683425242121,0.02612592578125,-3.6448271327221526,0.0,1.0,1.0
2012,30519818240.0,2012-01-01,2012-12-31,0.0,11877.77734375,44688.890625,0.0,0.0,0.0,11370.3701171875,-9470.3701171875,0.0,2777.77783203125,1707.4073486328125,72155.5546875,9729.6298828125,-9529.6298828125,72951.8515625,-21440.740234375,0.0,11370.3701171875,,0.0,365.0,0.0,2010.0,,1.0,0.0,0.0,1973.0,2399.0,male,Domestic,5610.0,56.0,3.0,1.0,Central,2010-06-07,,0.1527777761220932,1,0,23248.1474609375,23611.111328125,0.015612593123704456,0.0,11.197554934883117,0.0729518515625,-2.617955623081157,0.0,2.0,1.0
2012,30524456960.0,2012-01-02,2012-12-31,0.0,8537.037109375,6500.0,0.0,0.0,0.0,0.0,-12407.4072265625,0.0,2492.592529296875,859.25927734375,24774.07421875,14818.5185546875,-12407.4072265625,27477.77734375,2037.0369873046875,1851.851806640625,0.0,,0.0,364.0,0.0,,,,,,,,,,5610.0,56.0,3.0,3.0,Central,2011-12-28,,0.4074074029922485,1,0,8537.037109375,17551.8515625,1.0559652415268672,1.0,10.221132860377695,0.02747777734375,-3.5943776975865784,0.0,,1.0
2012,30528544768.0,2012-01-01,2012-12-31,788.888916015625,21162.962890625,15144.4443359375,0.0,0.0,0.0,4377.77783203125,133.3333282470703,0.0,17433.333984375,1648.148193359375,9318.5185546875,6340.74072265625,96.29629516601561,19448.1484375,1281.4814453125,140.74073791503906,4377.77783203125,,0.0,365.0,0.0,1993.0,,1.0,0.0,0.0,1961.0,8670.0,male,Domestic,2894.0,28.0,2.0,3.0,East,1993-04-06,,,1,0,25540.74072265625,29729.62939453125,0.1640081122690068,0.0,9.87550714849974,0.0194481484375,-3.940003409464534,0.0,19.0,1.0
